ID;Time;num_measure;CPU1_node01_Watt;min_CPU1_node01_Watt;max_CPU1_node01_Watt;CPU1_node01_Joule;min_CPU1_node01_Joule;max_CPU1_node01_Joule;CPU2_node01_Watt;min_CPU2_node01_Watt;max_CPU2_node01_Watt;CPU2_node01_Joule;min_CPU2_node01_Joule;max_CPU2_node01_Joule;ATX+12V_node01_Watt;min_ATX+12V_node01_Watt;max_ATX+12V_node01_Watt;ATX+12V_node01_Joule;min_ATX+12V_node01_Joule;max_ATX+12V_node01_Joule;Dummy_Watt;min_Dummy_Watt;max_Dummy_Watt;Dummy_Joule;min_Dummy_Joule;max_Dummy_Joule; ;power;energy
phase:0;0.00543904;69;44.6293;41.2498;50.3261;0.242741;0.224359;0.273726;56.091;51.4844;63.8721;0.305081;0.280026;0.347403;30.2386;27.5015;33.9596;0.164469;0.149582;0.184708;14.0971;14.0879;14.1039;0.0766749;0.0766246;0.0767118; ;180.9589;0.984242695456
phase:1;0.00373101;48;43.2359;41.5752;46.2853;0.161314;0.155118;0.172691;54.3034;51.8821;58.7251;0.202607;0.193573;0.219104;29.2557;28.1207;31.482;0.109154;0.104919;0.11746;14.1014;14.0986;14.1047;0.0526127;0.0526019;0.0526247; ;176.795;0.65962391295
phase:2;0.00778747;98;43.9982;40.7985;48.1239;0.342635;0.317717;0.374763;55.0541;51.7325;60.4424;0.428732;0.402865;0.470693;29.718;27.7285;32.6446;0.231428;0.215935;0.254219;14.0961;14.0871;14.1047;0.109773;0.109703;0.10984; ;178.7703;1.392168348141
phase:0;0.00797868;101;47.2353;42.1062;50.8922;0.376876;0.335952;0.406052;59.1178;52.441;65.0207;0.471682;0.41841;0.518779;31.9489;29.0648;34.7064;0.25491;0.231898;0.276911;14.0814;14.0757;14.0879;0.112351;0.112305;0.112403; ;188.302;1.50240140136
phase:1;0.00182414;24;45.1384;43.5731;48.8681;0.0823388;0.0794835;0.0891423;56.5457;55.0891;60.7484;0.103147;0.10049;0.110814;30.5312;29.4988;33.004;0.0556932;0.05381;0.060204;14.0847;14.0818;14.0879;0.0256924;0.0256872;0.0256983; ;182.2153;0.332386217342
phase:2;0.00854969;107;46.7073;42.2227;50.8022;0.399333;0.360991;0.434343;58.5627;52.4536;63.8604;0.500693;0.448462;0.545987;31.6093;28.6476;34.2037;0.270249;0.244928;0.292431;14.0893;14.0826;14.094;0.120459;0.120401;0.120499; ;186.8793;1.597760082417
phase:0;0.00946021;119;51.0235;43.7245;56.5734;0.482693;0.413643;0.535197;64.1095;54.38;70.9215;0.606489;0.514447;0.670933;34.6296;29.053;38.4663;0.327603;0.274847;0.363899;14.0938;14.0856;14.11;0.13333;0.133253;0.133484; ;199.7626;1.889796146146
phase:1;0.000977993;13;49.0823;47.0044;52.8398;0.0480022;0.04597;0.051677;61.2102;58.3689;66.5609;0.0598632;0.0570843;0.0650961;33.2537;31.7341;36.3548;0.0325219;0.0310357;0.0355547;14.0856;14.0833;14.0894;0.0137756;0.0137734;0.0137794; ;193.5462;0.1892868287766
phase:2;0.0104499;131;49.9586;41.4298;56.029;0.522061;0.432937;0.585497;62.7051;51.3631;71.0448;0.655261;0.536738;0.74241;33.8167;28.3075;37.7222;0.353381;0.29581;0.394193;14.0918;14.081;14.1024;0.147258;0.147145;0.147368; ;196.4804;2.05320053196
phase:0;0.0116646;146;55.9907;44.1169;65.9764;0.65311;0.514607;0.769591;70.4027;55.3521;82.7547;0.821221;0.645661;0.965302;37.9366;29.7212;44.0854;0.442517;0.346687;0.51424;14.0955;14.0757;14.1085;0.164419;0.164188;0.16457; ;214.33;2.500073718
phase:1;0.000515938;7;56.2331;51.7554;62.9997;0.0290128;0.0267026;0.0325039;70.0586;64.567;78.6081;0.0361459;0.0333126;0.0405569;37.6392;35.2476;41.7592;0.0194195;0.0181856;0.0215451;14.0953;14.0909;14.1009;0.0072723;0.00727005;0.00727517; ;213.9309;0.1103750806842
phase:2;0.0124898;157;54.9813;43.9246;63.8409;0.686705;0.548609;0.79736;69.0586;54.4582;79.2063;0.862528;0.680171;0.989271;37.2829;29.7359;42.9508;0.465655;0.371396;0.536447;14.0855;14.078;14.0948;0.175925;0.175831;0.176041; ;211.3228;2.63937950744
